iter	Passed	Remaining
0	141	141481
1	142	71182
2	143	47662
3	144	35867
4	144	28789
5	145	24053
6	145	20674
7	146	18136
8	146	16160
9	147	14586
10	147	13304
11	148	12230
12	149	11317
13	149	10537
14	150	9861
15	150	9268
16	151	8744
17	151	8279
18	152	7862
19	152	7486
20	153	7145
21	153	6834
22	154	6561
23	155	6304
24	155	6066
25	156	5846
26	156	5642
27	157	5452
28	157	5276
29	158	5111
30	158	4957
31	159	4813
32	159	4679
33	160	4554
34	160	4437
35	161	4324
36	162	4217
37	162	4115
38	163	4019
39	163	3926
40	164	3839
41	164	3755
42	165	3675
43	165	3599
44	166	3527
45	167	3466
46	167	3401
47	168	3338
48	168	3276
49	169	3216
50	169	3159
51	170	3104
52	170	3051
53	171	3001
54	171	2951
55	172	2904
56	172	2861
57	173	2818
58	174	2776
59	174	2736
60	175	2696
61	175	2657
62	176	2620
63	176	2584
64	177	2548
65	177	2515
66	178	2483
67	178	2450
68	179	2423
69	180	2393
70	180	2363
71	181	2335
72	181	2307
73	182	2280
74	182	2253
75	183	2228
76	183	2202
77	184	2178
78	184	2153
79	185	2130
80	185	2110
81	186	2087
82	187	2066
83	187	2045
84	188	2024
85	188	2004
86	189	1984
87	189	1964
88	190	1946
89	190	1927
90	191	1909
91	191	1892
92	192	1875
93	192	1858
94	193	1843
95	194	1828
96	194	1813
97	195	1797
98	195	1782
99	196	1767
100	196	1752
101	197	1739
102	198	1728
103	199	1716
104	199	1704
105	200	1690
106	201	1677
107	201	1665
108	202	1652
109	202	1640
110	203	1628
111	203	1616
112	204	1605
113	205	1594
114	205	1582
115	206	1570
116	206	1559
117	207	1548
118	207	1537
119	208	1528
120	208	1517
121	209	1507
122	209	1496
123	210	1486
124	211	1477
125	211	1467
126	212	1458
127	212	1448
128	213	1439
129	213	1429
130	214	1420
131	214	1411
132	215	1402
133	215	1393
134	216	1384
135	216	1376
136	217	1368
137	217	1360
138	218	1352
139	219	1347
140	219	1340
141	220	1332
142	220	1322
143	221	1315
144	221	1307
145	222	1300
146	222	1292
147	223	1285
148	223	1279
149	224	1272
150	224	1264
151	225	1257
152	225	1250
153	226	1244
154	226	1237
155	227	1230
156	227	1224
157	228	1217
158	228	1211
159	229	1205
160	230	1200
161	230	1193
162	231	1187
163	231	1182
164	232	1176
165	232	1170
166	233	1164
167	233	1158
168	234	1152
169	234	1146
170	235	1140
171	235	1134
172	236	1129
173	236	1123
174	237	1118
175	237	1113
176	238	1108
177	238	1102
178	239	1097
179	239	1092
180	240	1086
181	240	1081
182	241	1077
183	241	1072
184	242	1067
185	242	1062
186	243	1056
187	243	1052
188	244	1047
189	244	1042
190	245	1038
191	245	1033
192	245	1028
193	246	1022
194	246	1017
195	246	1013
196	247	1008
197	248	1004
198	248	1001
199	249	996
200	249	992
201	249	987
202	250	983
203	250	978
204	251	974
205	251	970
206	252	965
207	252	961
208	252	957
209	253	952
210	253	948
211	254	944
212	254	939
213	255	936
214	255	932
215	255	928
216	256	923
217	256	920
218	256	915
219	257	911
220	257	907
221	257	903
222	258	899
223	258	896
224	259	892
225	259	888
226	259	884
227	259	880
228	260	877
229	261	874
